Time,Subsystem,controlMode,FRspeed,FRrad,FLspeed,FLrad,BRspeed,BRrad,BLspeed,BLrad
10.171,Swerve_Drive,Teleop,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.191,Swerve_Drive,Teleop,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.211,Swerve_Drive,Teleop,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.231,Swerve_Drive,Teleop,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.251,Swerve_Drive,Teleop,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.271,Swerve_Drive,Teleop,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.291,Swerve_Drive,Teleop,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.312,Swerve_Drive,Teleop,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.331,Swerve_Drive,Teleop,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.351,Swerve_Drive,Teleop,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.371,Swerve_Drive,Teleop,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.392,Swerve_Drive,Teleop,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.411,Swerve_Drive,Teleop,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.431,Swerve_Drive,Teleop,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.451,Swerve_Drive,Teleop,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.471,Swerve_Drive,Teleop,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.492,Swerve_Drive,Teleop,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.511,Swerve_Drive,Teleop,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.531,Swerve_Drive,Teleop,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.55,Swerve_Drive,Teleop,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.57,Swerve_Drive,Teleop,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.591,Swerve_Drive,Teleop,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.611,Swerve_Drive,Teleop,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.63,Swerve_Drive,Teleop,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
