Time,Subsystem,controlMode,FRspeed,FRrad,FLspeed,FLrad,BRspeed,BRrad,BLspeed,BLrad
3.859,Swerve_Drive,Teleop,0.00,-0.79,0.00,-0.79,0.00,-0.79,0.00,-0.79
3.878,Swerve_Drive,Teleop,0.00,-0.79,0.00,-0.79,0.00,-0.79,0.00,-0.79
3.898,Swerve_Drive,Teleop,0.00,-0.79,0.00,-0.79,0.00,-0.79,0.00,-0.79
3.918,Swerve_Drive,Teleop,0.00,-0.79,0.00,-0.79,0.00,-0.79,0.00,-0.79
3.939,Swerve_Drive,Teleop,0.00,-0.79,0.00,-0.79,0.00,-0.79,0.00,-0.79
3.958,Swerve_Drive,Teleop,0.00,-0.79,0.00,-0.79,0.00,-0.79,0.00,-0.79
3.978,Swerve_Drive,Teleop,0.00,-0.79,0.00,-0.79,0.00,-0.79,0.00,-0.79
3.998,Swerve_Drive,Teleop,0.00,-0.79,0.00,-0.79,0.00,-0.79,0.00,-0.79
4.018,Swerve_Drive,Teleop,0.00,-0.79,0.00,-0.79,0.00,-0.79,0.00,-0.79
4.04,Swerve_Drive,Teleop,0.00,-0.79,0.00,-0.79,0.00,-0.79,0.00,-0.79
4.058,Swerve_Drive,Teleop,0.00,-0.79,0.00,-0.79,0.00,-0.79,0.00,-0.79
4.079,Swerve_Drive,Teleop,0.00,-0.79,0.00,-0.79,0.00,-0.79,0.00,-0.79
4.098,Swerve_Drive,Teleop,0.00,-0.79,0.00,-0.79,0.00,-0.79,0.00,-0.79
4.118,Swerve_Drive,Teleop,0.00,-0.79,0.00,-0.79,0.00,-0.79,0.00,-0.79
4.138,Swerve_Drive,Teleop,0.00,-0.79,0.00,-0.79,0.00,-0.79,0.00,-0.79
4.164,Swerve_Drive,Teleop,0.00,-0.79,0.00,-0.79,0.00,-0.79,0.00,-0.79
4.178,Swerve_Drive,Teleop,0.00,-0.79,0.00,-0.79,0.00,-0.79,0.00,-0.79
4.198,Swerve_Drive,Teleop,0.00,-0.79,0.00,-0.79,0.00,-0.79,0.00,-0.79
4.219,Swerve_Drive,Teleop,0.00,-0.79,0.00,-0.79,0.00,-0.79,0.00,-0.79
4.238,Swerve_Drive,Teleop,0.00,-0.79,0.00,-0.79,0.00,-0.79,0.00,-0.79
4.259,Swerve_Drive,Teleop,0.00,-0.79,0.00,-0.79,0.00,-0.79,0.00,-0.79
4.278,Swerve_Drive,Teleop,0.00,-0.79,0.00,-0.79,0.00,-0.79,0.00,-0.79
4.298,Swerve_Drive,Teleop,0.00,-0.79,0.00,-0.79,0.00,-0.79,0.00,-0.79
4.318,Swerve_Drive,Teleop,0.00,-0.79,0.00,-0.79,0.00,-0.79,0.00,-0.79
4.338,Swerve_Drive,Teleop,0.00,-0.79,0.00,-0.79,0.00,-0.79,0.00,-0.79
4.358,Swerve_Drive,Teleop,0.00,-0.79,0.00,-0.79,0.00,-0.79,0.00,-0.79
4.378,Swerve_Drive,Teleop,0.00,-0.79,0.00,-0.79,0.00,-0.79,0.00,-0.79
4.398,Swerve_Drive,Teleop,0.00,-0.79,0.00,-0.79,0.00,-0.79,0.00,-0.79
4.418,Swerve_Drive,Teleop,0.00,-0.79,0.00,-0.79,0.00,-0.79,0.00,-0.79
4.438,Swerve_Drive,Teleop,0.00,-0.79,0.00,-0.79,0.00,-0.79,0.00,-0.79
4.458,Swerve_Drive,Teleop,0.00,-0.79,0.00,-0.79,0.00,-0.79,0.00,-0.79
4.479,Swerve_Drive,Teleop,0.00,-0.79,0.00,-0.79,0.00,-0.79,0.00,-0.79
4.498,Swerve_Drive,Teleop,0.00,-0.79,0.00,-0.79,0.00,-0.79,0.00,-0.79
4.518,Swerve_Drive,Teleop,0.00,-0.79,0.00,-0.79,0.00,-0.79,0.00,-0.79
4.538,Swerve_Drive,Teleop,0.00,-0.79,0.00,-0.79,0.00,-0.79,0.00,-0.79
4.558,Swerve_Drive,Teleop,0.00,-0.79,0.00,-0.79,0.00,-0.79,0.00,-0.79
4.579,Swerve_Drive,Teleop,0.00,-0.79,0.00,-0.79,0.00,-0.79,0.00,-0.79
4.598,Swerve_Drive,Teleop,0.00,-0.79,0.00,-0.79,0.00,-0.79,0.00,-0.79
4.618,Swerve_Drive,Teleop,0.00,-0.79,0.00,-0.79,0.00,-0.79,0.00,-0.79
4.638,Swerve_Drive,Teleop,0.00,-0.79,0.00,-0.79,0.00,-0.79,0.00,-0.79
4.664,Swerve_Drive,Teleop,0.00,-0.79,0.00,-0.79,0.00,-0.79,0.00,-0.79
4.678,Swerve_Drive,Teleop,0.00,-0.79,0.00,-0.79,0.00,-0.79,0.00,-0.79
4.699,Swerve_Drive,Teleop,0.00,-0.79,0.00,-0.79,0.00,-0.79,0.00,-0.79
4.718,Swerve_Drive,Teleop,0.00,-0.79,0.00,-0.79,0.00,-0.79,0.00,-0.79
